"src","doi","yr","pmcid"
"PMC","10.1371/journal.pone.0052505",2012,"PMC3531388"
"PMC","10.1186/1755-8794-5-43",2012,"PMC3532125"
"PMC","10.1371/journal.pone.0052210",2012,"PMC3532452"
"PMC","10.1186/1471-2180-12-248",2012,"PMC3534369"
"PMC","10.1093/database/bas057",2013,"PMC3540420"
"PMC","10.1371/journal.pone.0051629",2013,"PMC3541386"
"PMC","10.1371/journal.pgen.1003137",2013,"PMC3542081"
"PMC","10.3389/fgene.2012.00320",2012,"PMC3542818"
"PMC","10.3390/s121014196",2012,"PMC3545615"
"PMC","10.1186/1472-6947-12-151",2012,"PMC3545829"
"PMC","10.1007/s12265-012-9401-8",2013,"PMC3546298"
"PMC","10.1093/bioinformatics/bts678",2012,"PMC3546801"
"PMC","10.1371/journal.pone.0054050",2013,"PMC3546938"
"PMC","10.4137/BBI.S11059",2013,"PMC3547502"
"PMC","10.1371/journal.pcbi.1002882",2013,"PMC3547792"
"PMC","10.1371/journal.pcbi.1002801",2013,"PMC3547802"
"PMC","10.1371/journal.pone.0054471",2013,"PMC3549994"
"PMC","10.1371/journal.pcbi.1002880",2013,"PMC3551603"
"PMC","10.1186/1758-2946-4-24",2012,"PMC3551648"
"PMC","10.1093/nar/gks1260",2012,"PMC3553938"
"PMC","10.1186/1756-0381-5-20",2012,"PMC3554553"
"PMC","10.1371/journal.pcbi.1002885",2013,"PMC3554573"
"PMC","10.1371/journal.pone.0055066",2013,"PMC3561450"
"PMC","10.1093/bioinformatics/bts695",2012,"PMC3562068"
"PMC","10.1371/journal.pone.0056018",2013,"PMC3566076"
"PMC","10.1093/database/bat004",2013,"PMC3567487"
"PMC","10.1093/bioinformatics/bts714",2012,"PMC3570210"
"PMC","10.1093/bioinformatics/bts718",2012,"PMC3570217"
"PMC","10.1186/1471-2105-13-238",2012,"PMC3572422"
"PMC","10.1093/nar/gks1360",2013,"PMC3575811"
"PMC","10.1371/journal.pone.0054998",2013,"PMC3577839"
"PMC","10.1371/journal.pone.0057142",2013,"PMC3579787"
"PMC","10.1016/j.ygeno.2012.12.001",2013,"PMC3580289"
"PMC","10.1186/1471-2164-13-406",2012,"PMC3582432"
"PMC","10.1534/genetics.112.147124",2013,"PMC3583988"
"PMC","10.1371/journal.pone.0057615",2013,"PMC3585932"
"PMC","10.1371/journal.pone.0057438",2013,"PMC3587605"
"PMC","10.1371/journal.pone.0057819",2013,"PMC3589452"
"PMC","10.1155/2013/317803",2013,"PMC3590613"
"PMC","10.1093/gbe/evt017",2013,"PMC3590775"
"PMC","10.1371/journal.pone.0058118",2013,"PMC3591453"
"PMC","10.1093/database/bat009",2013,"PMC3594986"
"PMC","10.1371/journal.pone.0057410",2013,"PMC3596391"
"PMC","10.1371/journal.pcbi.1002935",2013,"PMC3597545"
"PMC","10.1371/journal.pcbi.1002962",2013,"PMC3597551"
"PMC","10.1186/2041-1480-4-6",2013,"PMC3598643"
"PMC","10.1186/1471-2164-14-64",2013,"PMC3599046"
"PMC","10.1186/1471-2105-14-65",2013,"PMC3599469"
"PMC","10.1155/2013/383646",2013,"PMC3600133"
"PMC","10.1371/journal.ppat.1003271",2013,"PMC3605240"
"PMC","10.1093/bioinformatics/btt080",2013,"PMC3605603"
"PMC","10.1371/journal.pone.0060058",2013,"PMC3607606"
"PMC","10.1371/journal.pone.0060176",2013,"PMC3608622"
"PMC","10.1371/journal.pone.0059573",2013,"PMC3608656"
"PMC","10.1371/journal.pcbi.1003000",2013,"PMC3610916"
"PMC","10.7554/eLife.00367",2013,"PMC3614033"
"PMC","10.1371/journal.pone.0060234",2013,"PMC3615005"
"PMC","10.1186/1472-6947-13-39",2013,"PMC3617086"
"PMC","10.1371/journal.pone.0060811",2013,"PMC3620293"
"PMC","10.1186/1471-2229-13-19",2013,"PMC3621147"
"PMC","10.7554/eLife.00499",2013,"PMC3622181"
"PMC","10.1186/1471-2105-14-S5-S11",2013,"PMC3622628"
"PMC","10.1186/1471-2105-14-S5-S4",2013,"PMC3622631"
"PMC","10.1186/1471-2164-14-171",2013,"PMC3623868"
"PMC","10.1186/1471-2105-14-89",2013,"PMC3626856"
"PMC","10.1093/nar/gkt126",2013,"PMC3627598"
"PMC","10.1186/1478-811X-11-24",2013,"PMC3627909"
"PMC","10.1186/1756-0500-6-107",2013,"PMC3630002"
"PMC","10.1186/1471-2105-14-S7-S6",2013,"PMC3633056"
"PMC","10.1093/bioinformatics/btt109",2013,"PMC3634181"
"PMC","10.1371/journal.pone.0062944",2013,"PMC3634773"
"PMC","10.1186/1471-2105-14-115",2013,"PMC3636010"
"PMC","10.1371/journal.pone.0062510",2013,"PMC3636077"
"PMC","10.1186/1471-2105-14-13",2013,"PMC3637076"
"PMC","10.1186/2047-217X-2-4",2013,"PMC3637469"
"PMC","10.1371/journal.pone.0062405",2013,"PMC3639275"
"PMC","10.3389/fmicb.2013.00104",2013,"PMC3640186"
"PMC","10.1093/gbe/evt034",2013,"PMC3641628"
"PMC","10.1093/gbe/evt035",2013,"PMC3641636"
"PMC","10.3389/fncir.2013.00069",2013,"PMC3644699"
"PMC","10.1371/journal.pbio.1001555",2013,"PMC3646727"
"PMC","10.1371/journal.pone.0061951",2013,"PMC3646891"
"PMC","10.1038/srep01802",2013,"PMC3647165"
"PMC","10.1093/molbev/mst057",2013,"PMC3649681"
"PMC","10.1371/journal.pcbi.1003053",2013,"PMC3649986"
"PMC","10.1371/journal.pone.0063027",2013,"PMC3651199"
"PMC","10.1371/journal.pone.0063863",2013,"PMC3652856"
"PMC","10.1093/bioinformatics/btt128",2013,"PMC3654707"
"PMC","10.1186/1755-8794-6-S2-S3",2013,"PMC3654871"
"PMC","10.1186/1471-2164-14-167",2013,"PMC3655071"
"PMC","10.1038/msb.2013.6",2013,"PMC3658275"
"PMC","10.3390/s130303473",2013,"PMC3658757"
"PMC","10.1155/2013/832756",2013,"PMC3659464"
"PMC","10.1186/1758-2946-4-38",2012,"PMC3660204"
"PMC","10.1371/journal.pone.0063754",2013,"PMC3661659"
"PMC","10.1371/journal.pone.0064125",2013,"PMC3662768"
"PMC","10.1186/gb-2013-14-3-r22",2013,"PMC3663115"
"PMC","10.1093/nar/gkt183",2013,"PMC3664793"
"PMC","10.1093/nar/gkt228",2013,"PMC3664814"
"PMC","10.1371/journal.pone.0064731",2013,"PMC3665553"
"PMC","10.3389/fncom.2013.00066",2013,"PMC3665931"
"PMC","10.1371/journal.pone.0065226",2013,"PMC3666980"
"PMC","10.1371/journal.pcbi.1003063",2013,"PMC3667760"
"PMC","10.1371/journal.pone.0064865",2013,"PMC3669131"
"PMC","10.1093/bioinformatics/btt175",2013,"PMC3673213"
"PMC","10.1371/journal.pone.0066245",2013,"PMC3673923"
"PMC","10.1371/journal.pgen.1003521",2013,"PMC3675002"
"PMC","10.3389/fninf.2013.00010",2013,"PMC3678125"
